epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 23 59.9990000,,"[0.1779494504444301, 0.00830000587302493]",,"[0.046707693939424644, 0.0025998070996138267]",,,,"[-0.03347451905756316, -0.004392217000713572]","[-0.26401755961751405, -0.013693387735202123]",,"[0.6852022692733044, 0.0378021475753485]",,"[0.44156331313024566, 0.011626461678133637]","[-0.28438808893906753, -0.01401634569538146]","[0.3762129114838899, -0.0073795733542283415]",,,,"[-0.7718597764460355, -0.045520825713538215]",
08 11 15 0 24 29.9990000,,"[0.18037162899781833, 0.004844357106776442]",,"[0.04834670227228344, 0.003278016665717587]",,,,"[-0.029187262116465718, 0.008574513882194879]","[-0.26677077020963225, -0.0055064211842363875]",,"[0.707179511317463, 0.04395448408831726]",,"[0.4333198290664768, -0.016486968127537693]","[-0.29127515238496926, -0.013774126891803462]","[0.3880735167022067, 0.023721210436633555]",,,,"[-0.7894367256340047, -0.0351538983759383]",
08 11 15 0 24 59.9990000,,"[0.1721523662781692, -0.016438525439298246]",,"[0.05529028249111434, 0.013887160437661805]",,,,"[-0.028920822262080037, 0.000532879708771361]","[-0.2644051083550494, 0.004731323709165736]",,"[0.7156813602678085, 0.017003697900690895]",,"[0.42980766826758554, -0.007024321597782546]","[-0.29767778059431294, -0.01280525641868735]","[0.4035835390932334, 0.03102004478205345]",,,,"[-0.8019755404202442, -0.025077629572479054]",
08 11 15 0 25 29.9990000,,"[0.1794915698337718, 0.01467840711120516]",,"[0.05350594370520412, -0.0035686775718204444]",,,,"[-0.031730551258078776, -0.0056194579919974785]","[-0.26874888340125835, -0.00868755009241795]",,"[0.7081564570544288, -0.01504980642675946]",,"[0.433465159815114, 0.007314983095056959]","[-0.3071404283098218, -0.01892529543101773]","[0.4185849037148728, 0.030002729243278733]",,,,"[-0.8145708743500109, -0.025190667859533278]",
08 11 15 0 25 59.9990000,,"[0.17562415727661573, -0.007734825114312115]",,"[0.05226255870638852, -0.0024867699976311997]",,,,"[-0.03485516220644058, -0.006249221896723611]","[-0.2738677559964344, -0.010237745190352143]",,"[0.7182327228942995, 0.020152531679741514]",,"[0.4535611756114122, 0.04019203159259632]","[-0.31699869758199384, -0.019716538544344075]","[0.41447527265290773, -0.008219262123930093]",,,,"[-0.846390238101776, -0.06363872750353039]",
08 11 15 0 26 29.9990000,,"[0.18602337974516558, 0.020798444937099703]",,"[0.05927073096154345, 0.014016344510309864]",,,,"[-0.03902938501050812, -0.00834844560813508]","[-0.2715586116551094, 0.004618288682650018]",,"[0.7422042256202985, 0.04794300545199803]",,"[0.43578237830934086, -0.03555759460414265]","[-0.3234336215133453, -0.012869847862702954]","[0.42707868006846184, 0.025206814831108204]",,,,"[-0.8608102794323713, -0.028840082661190536]",
08 11 15 0 26 59.9990000,,"[0.18287454833625816, -0.006297662817814853]",,"[0.05432948491124989, -0.009882492100587115]",,,,"[-0.03997403502398811, -0.0018893000269599725]","[-0.2759750521497608, -0.008832880989302794]",,"[0.7468467360945397, 0.00928502094848227]",,"[0.4287096140178619, -0.014145528582957922]","[-0.3239584271431113, -0.0010496112595319573]","[0.43384463470511037, 0.01353190927329706]",,,,"[-0.8867195254752005, -0.05181849208565836]",
08 11 15 0 27 29.9990000,,"[0.1887119993371016, 0.01167490200168686]",,"[0.05928687971118052, 0.009914789599861251]",,,,"[-0.03851265286539274, 0.0029227643171907403]","[-0.27926921623270573, -0.006588328165889834]",,"[0.7705921687670525, 0.04749086534502567]",,"[0.4198202155148465, -0.0177787970060308]","[-0.3424558035175096, -0.0369947527487966]","[0.4515911356925244, 0.035493001974828076]",,,,"[-0.9015271160619704, -0.0296151811735399]",
08 11 15 0 27 59.9990000,,"[0.19635801195181557, 0.015292025229427963]",,"[0.05613804534004885, -0.00629766874226334]",,,,"[-0.03149640653282404, 0.014032492665137397]","[-0.28400054009057385, -0.009462647715736239]",,"[0.7647627900664702, -0.011658757401164621]",,"[0.40445552357641645, -0.030729383876860084]","[-0.34670269243520124, -0.008493777835383298]","[0.44978257526372545, -0.003617120857597911]",,,,"[-0.9182482283217723, -0.03344222451960377]",
08 11 15 0 28 29.9990000,,"[0.19773865451134043, 0.0027612851190497167]",,"[0.06258911683562474, 0.012902142991151777]",,,,"[-0.03753570653680072, -0.012078600007953355]","[-0.2823534579749776, 0.0032941642311925534]",,"[0.7781897392810606, 0.026853898429180845]",,"[0.4136598061090808, 0.01840856506532873]","[-0.34941553307862705, -0.0054256812868516135]","[0.47044376619396644, 0.04132238186048198]",,,,"[-0.9389094186594775, -0.041322380675410386]",
