epoch,G03,G06,G07,G11,G13,G16,G19,G21,G23,G25,G27,G31
08 11 15 0 39 0.0000000,"[-0.30292290387054255, 0.48147980906069243]","[-0.23578690883393083, -0.8882963993276158]",,,"[-0.4943754473080242, 0.5925413807233166]","[0.05727330114071583, -0.5516600017746289]","[-1.2661616271051268, 0.13552770080665744]","[1.3252463296055794, 1.695579672046006]","[0.9499452329551179, 2.2229397992913924]","[0.3065743702153365, -0.23888247627764936]",,"[-1.951947158575058, -0.37022549187143644]"
08 11 15 0 39 30.0000000,"[0.03588678749899099, 1.2451499704271551]","[-0.2042858168172339, -0.672162238570551]",,,"[-0.6212149509539211, -0.8736853460470844]","[-0.10921762619788433, -0.41329711725314455]","[-0.8174264793905119, 0.5067839479694763]","[0.935900117456913, 1.3563136996701362]","[0.4926556117211778, 1.2816708336894713]","[0.12174979920188589, -0.6924892010167241]",,"[-1.1594747364521027, -0.5049134818216164]"
08 11 15 0 40 0.0000000,"[-0.2883155414213734, 0.9947995398193594]","[-0.2097874894427756, -0.4887254276002447]",,,"[0.02697088333467601, -0.1026225696007419]","[-0.07806382064397122, -0.0006659482916195891]","[-1.3130456125053267, 0.7714261269817749]","[1.5677937224507332, 1.6836878301575782]","[1.3420505739127595, 2.0976319413011275]","[0.162064682195584, 0.18065888267010455]",,"[-1.4829975426197053, -1.2590343979497751]"
08 11 15 0 40 30.0000000,"[-0.37209828135867884, 0.7832568738609549]","[0.021403527290870805, -0.53064254305015]",,,"[0.030005191887418015, 0.07733660837014433]","[-0.28187177811438824, -0.018635973831017782]","[-1.3448570435556273, 0.4691151535759369]","[1.017887170612812, 1.7718844057992102]","[1.4502290851746995, 2.421827654105922]","[0.48569111103812856, 0.07751300018280749]",,"[-2.1549458116292954, -0.9704729494949181]"
08 11 15 0 41 0.0000000,"[-0.259546160077055, 0.6929834339767691]","[0.01923822465663161, -0.24072538694987694]",,,"[0.0037374845395481415, -0.02407509187857393]","[0.1700852241677544, 0.1692341561118762]","[-0.08059402458990617, 0.705926567936937]","[1.2738668575882912, 1.487966516800225]","[1.3133334285890061, 0.11346804605176075]","[-0.5220853132506211, 0.5238881466910243]",,"[-3.2930598467588426, -0.3450635847946008]"
08 11 15 0 41 30.0000000,"[-0.49023153570791056, 0.5975425694137808]","[-0.03865019377941881, -0.6511066742862264]",,,"[-0.47174678233762624, -0.1330224136511493]","[0.011507878856112708, 0.040269568065802286]","[0.4297300214258333, 0.22930865051845706]","[0.6205288574099541, 1.9448914768174292]","[1.4694035566722352, 2.491759891373416]","[-0.6498490912218888, 0.10708660464733843]",,"[-3.598833566904068, 0.32697814429799715]"
08 11 15 0 42 0.0000000,"[-0.3962090158214169, 0.7114594582468268]","[0.10566846880440917, -0.6270131655658284]",,,"[0.12734455379346965, -0.1755222539107013]","[-0.09639322493846203, 0.09422641942898435]","[0.3213547105280061, 0.4459748721371094]","[0.5740345373749733, 2.1439541222527625]","[1.6779441303883988, 2.1265579860036574]","[-0.9433527482052644, -0.1451440097764134]",,"[-3.5244747906923295, 0.6102098050216834]"
08 11 15 0 42 30.0000000,"[-0.3724590757240849, 0.5134371075779196]","[-0.26317948993916307, -0.43417925021300713]",,,"[0.05146049472192882, 0.5973038365443539]","[-0.031195682628700983, -0.027562410136063864]","[0.7753794277397295, 0.5060467875252167]","[0.43316937536001204, 2.945675069279969]","[1.5156381196652848, 2.989114070994159]","[-0.49112350170811014, -0.6155995370820164]",,"[-4.4582616746425625, 0.2606316628555457]"
08 11 15 0 43 0.0000000,"[-0.09362380144496729, -0.5203562524169687]","[-0.09614345577235017, -0.12748162827144066]",,,"[-0.41206792977949025, -0.10564638773600343]","[-0.3209125298696258, 0.03897513399521513]","[-0.39716138594473405, -0.11624094781776273]","[0.8768336579203606, 1.5676521154120566]","[1.5524524963771302, 2.3802853475635253]","[-0.07289658909042673, -0.3753523172810673]",,"[-2.8706420719623567, 0.7273633005718391]"
08 11 15 0 43 30.0000000,"[-0.11374131528039744, -0.42037640474736726]","[-0.20549284812683855, 0.02653056004395088]",,,"[-0.05487134543558003, 0.2806726237138104]","[-0.1560326490240791, 0.05971008489529295]","[0.40993019289647536, 0.0012067264566818503]","[1.13080343157053, 1.3264632912352683]","[1.219746760216852, 1.5272199909513198]","[0.17766779238979025, 0.36015815120190386]",,"[-2.8458485662937165, -0.0004384246965249347]"
