epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 23 0.0000000,,"[0.17140149141278016, -0.00022607005303143524]",,"[0.05958561436192511, 0.0017924127161705883]",,,,"[-0.0016067124631717888, -0.01813405024347503]","[-0.25989178073177754, 0.013774127484794008]",,"[0.6338116950591939, -0.0065075894535766565]",,"[0.374493164170417, 0.013192804042773787]","[-0.2327956665185411, -0.005506421184691135]","[0.389228089410274, -0.01886070339449475]",,,"[-0.7311106437973649, -0.01871537175611593]",
08 11 15 0 23 30.0000000,,"[0.1714903047959524, 0.00017762676634447416]",,"[0.06495477887631207, 0.010738329028773919]",,,,"[0.009753309213067496, 0.02272004335247857]","[-0.27121143246040447, -0.022639303457253845]",,"[0.6573229841919783, 0.04702257826556888]",,"[0.36257604129059473, -0.023834245759644546]","[-0.24726415180248296, -0.02893697056788369]","[0.40116943393334736, 0.023882689046146766]",,,"[-0.7587961551398621, -0.055371022684994387]",
08 11 15 0 24 0.0000000,,"[0.1793704618398806, 0.015760314087856386]",,"[0.06774835912098265, 0.005587160489341159]",,,,"[0.01647889419734838, 0.013451169968561771]","[-0.2742149351925036, -0.006007005464198301]",,"[0.6828204596317846, 0.05099495087961259]",,"[0.3884368438484671, 0.05172160511574475]","[-0.25444187689390674, -0.014355450182847562]","[0.40142779941255213, 0.0005167309584095392]",,,"[-0.770907052055918, -0.02422179383211187]",
08 11 15 0 24 30.0000000,,"[0.17807055888351897, -0.002599805912723241]",,"[0.07137355435393644, 0.007250390465907586]",,,,"[0.01655155957172383, 0.0001453307487508937]","[-0.28010083125809615, -0.011771792131185066]",,"[0.692622212724018, 0.019603506184466823]",,"[0.4280556256635464, 0.07923756363015855]","[-0.2531904175202726, 0.002502918747268268]","[0.4160254675102024, 0.02919533619530057]",,,"[-0.7974864347725088, -0.05315876543318154]",
08 11 15 0 25 0.0010000,,"[0.17832892465912664, 0.0005167315512153436]",,"[0.07006557739286201, -0.0026159539221488615]",,,,"[0.020233272318080253, 0.0073634254927128495]","[-0.2792369205490104, 0.0017278214181715157]",,"[0.7194922563467117, 0.05374008724538726]",,"[0.3875729331812181, -0.08096538496465655]","[-0.27595890423344827, -0.045536973426351324]","[0.43069580113041894, 0.029340667240433046]",,,"[-0.799351513160218, -0.003730156775418436]",
08 11 15 0 25 30.0010000,,"[0.17966112304111448, 0.002664396763975674]",,"[0.06683600482783358, -0.006459145130056854]",,,,"[0.016446598179015837, -0.007573348278128833]","[-0.2707512185697851, 0.016971403958450537]",,"[0.7132591814183797, -0.012466149856663833]",,"[0.4172607792643248, 0.05937569216621341]","[-0.286559976369972, -0.021202144273047452]","[0.4553616618782925, 0.04933172149574716]",,,"[-0.8097911066124652, -0.020879186904494418]",
08 11 15 0 26 0.0010000,,"[0.18322172742273324, 0.007121208763237519]",,"[0.06854767838732112, 0.003423347118975073]",,,,"[-0.0021557397362244046, -0.03720467583048048]","[-0.2749496630149224, -0.008396888890274568]",,"[0.7364555868177831, 0.04639281079880675]",,"[0.38394773794789216, -0.06662608263286529]","[-0.299672041035592, -0.026224129331239965]","[0.44661759412421276, -0.01748813550815953]",,,"[-0.8332620253513596, -0.046941837477788795]",
08 11 15 0 26 30.0010000,,"[0.1806703647962422, -0.005102725252982054]",,"[0.06434115993707135, -0.008413036900499549]",,,,"[0.005708269446643044, 0.015728018365734897]","[-0.2860190230458102, -0.02213872006177553]",,"[0.733871928469398, -0.0051673166967702855]",,"[0.39748772106759134, 0.027079966239398345]","[-0.3055417893883714, -0.01173949670555885]","[0.46338714967089345, 0.033539111093361385]",,,"[-0.8647745794496586, -0.06302510819659801]",
08 11 15 0 27 0.0010000,,"[0.18672581325381543, 0.01211089691514644]",,"[0.06513240534701392, 0.0015824908198851517]",,,,"[0.01392753171910499, 0.016438524544923894]","[-0.28361299146490637, 0.0048120631618076]",,"[0.7438028644494352, 0.019861871960074495]",,"[0.37630979876121273, -0.04235584461275721]","[-0.31206552581397773, -0.01304747285121266]","[0.4677551471013288, 0.008735994860870733]",,,"[-0.888406977390332, -0.0472647958813468]",
08 11 15 0 27 30.0010000,,"[0.18867163094591888, 0.0038916353842068925]",,"[0.07197909921451018, 0.013693387734992513]",,,,"[0.0037624520512054005, -0.02033015933579918]","[-0.28699596848673536, -0.006765954043657985]",,"[0.7737248540922792, 0.059843979285687965]",,"[0.36134880371173494, -0.02992199009895558]","[-0.32818109313939203, -0.03223113465082861]","[0.47003199549850194, 0.004553696794346251]",,,"[-0.9020115521871048, -0.02720914959354559]",
