epoch,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G22,G23,G25,G27,G28,G31,G32
08 11 15 0 26 30.0000000,"[-0.06518066301941872, -0.056808579713106155]",,"[-0.08779092878103256, 0.0035079680383205414]",,,,"[0.19686474278569221, 0.5134558528661728]","[0.03903312236070633, 0.06513223797082901]",,"[0.5612308755517006, 0.09809083491563797]",,"[-0.16720649972558022, 0.28432562947273254]",,"[-0.1669257916510105, 0.019115380942821503]","[-0.13023198768496513, -0.5275210998952389]",,,"[-0.27485672011971474, -0.1494201123714447]",
08 11 15 0 27 0.0000000,"[-0.12246812880039215, 0.4395645968616009]",,"[0.27705077081918716, 0.04466778039932251]",,,,"[0.43204934895038605, 0.03300393000245094]","[0.16406412422657013, 0.3792063780128956]",,"[0.08000563457608223, -0.2223142273724079]",,"[1.2470866814255714, -0.4594743549823761]",,"[-0.07967743650078773, 0.40858322754502296]","[-0.4721100367605686, -0.23224248364567757]",,,"[0.1056949608027935, -0.1813228614628315]",
08 11 15 0 27 30.0000000,"[0.16946206241846085, 0.25793910399079323]",,"[-0.22849194332957268, -0.1482044756412506]",,,,"[0.149363212287426, 0.3911398872733116]","[0.23083677887916565, 0.19477731361985207]",,"[-0.2935459241271019, 0.32658008113503456]",,"[-0.3223913311958313, 0.6232572570443153]",,"[-0.31442439928650856, 0.33458128571510315]","[-0.13505243137478828, -0.22735171765089035]",,,"[-0.014587830752134323, -0.16268553212285042]",
08 11 15 0 28 0.0000000,"[0.04823518544435501, 0.15601765736937523]",,"[0.19993731379508972, 0.37318451702594757]",,,,"[-0.34724025055766106, -0.04025299474596977]","[-0.08443811908364296, -0.04152008518576622]",,"[0.3024485968053341, 0.20492664352059364]",,"[-0.40368595719337463, 0.1150054819881916]",,"[0.16852155327796936, -0.351951964199543]","[0.16344061493873596, 0.016422640532255173]",,,"[0.05866382271051407, -0.4782264083623886]",
08 11 15 0 28 30.0000000,"[-0.10906579345464706, 0.11203508451581001]",,"[-0.036444760859012604, -0.12636440619826317]",,,,"[0.5217957533895969, 0.34430159255862236]","[-0.12949534133076668, 0.17997867986559868]",,"[0.06754450500011444, 0.04257942736148834]",,"[-0.07877632230520248, -0.616605319082737]",,"[-0.04908115789294243, 0.3276619501411915]","[0.0338146835565567, 0.3852768689393997]",,,"[-0.1548890471458435, 0.09491757303476334]",
08 11 15 0 29 0.0000000,"[0.12790075689554214, 0.017831631004810333]",,"[-0.06441037356853485, -0.005860611796379089]",,,,"[-0.05378707870841026, 0.3721412345767021]","[-0.08253908902406693, 0.01974434033036232]",,"[0.028934840112924576, -0.44872768595814705]",,"[-0.7332876473665237, 0.19943174719810486]",,"[-0.17178452759981155, -0.1529754139482975]","[-0.0063855648040771484, 0.05794467031955719]",,,"[-0.21949180588126183, -0.03812692314386368]",
08 11 15 0 29 30.0000000,"[-0.2018081098794937, -0.2890174388885498]",,"[0.22696468234062195, 0.2602556236088276]",,,,"[0.020766161382198334, 0.001477859914302826]","[0.046588413417339325, 0.2195512242615223]",,"[-0.38829455524683, -0.6084724999964237]",,"[0.22646931186318398, -0.4101116359233856]",,"[0.13123787567019463, 0.23087698593735695]","[-0.0050292909145355225, -0.3932306244969368]",,,"[0.0311540849506855, -0.16616984456777573]",
08 11 15 0 30 0.0000000,"[-0.0005966834723949432, 0.3856379948556423]",,"[0.25819962471723557, -0.25105369091033936]",,,,"[-0.09918662533164024, -0.21081937476992607]","[-0.345243152230978, 0.08793376758694649]",,"[-0.21727843955159187, -0.2879895605146885]",,"[-0.29696760699152946, -0.4176293984055519]",,"[-0.039606641978025436, 0.08384600654244423]","[0.5309981517493725, -0.0022954531013965607]",,,"[0.059131138026714325, 0.1652091071009636]",
08 11 15 0 30 30.0000000,"[-0.14747832342982292, 0.06670274212956429]",,"[0.11704858392477036, -0.22568776085972786]",,,,"[0.010761961340904236, -0.36996881291270256]","[0.05384623259305954, 0.31573740392923355]",,"[0.032528817653656006, -0.21242591738700867]",,"[-0.025235027074813843, -0.2591093145310879]",,"[0.1363530568778515, 0.5695963874459267]","[-0.6264514289796352, 0.09954321756958961]",,,"[0.5921321734786034, 0.022543810307979584]",
08 11 15 0 31 0.0000000,"[-0.07991066202521324, 0.2640826143324375]",,"[0.12859196215867996, -0.005540534853935242]",,,,"[0.22873695194721222, 0.006081338971853256]","[-0.04115213453769684, 0.08331280574202538]",,"[-0.270599365234375, 0.3948499374091625]",,"[-0.3527013920247555, -0.04839327931404114]",,"[0.10323211923241615, 0.2711104191839695]","[-0.39895374700427055, 0.41954828053712845]",,,"[-0.2128102108836174, 0.18774988874793053]",
08 11 15 0 31 30.0000000,"[-0.018033035099506378, 0.19857456535100937]",,"[-0.06738684326410294, 0.21695322543382645]",,,,"[0.07182485237717628, 0.5370928272604942]","[-0.10737644881010056, 0.3236590772867203]",,"[-0.5015334412455559, -0.044018860906362534]",,"[0.5194055065512657, 0.5105281174182892]",,"[-0.04588830843567848, 0.5758238136768341]","[0.29523688927292824, 0.7276776283979416]",,,"[-0.2325493060052395, 0.5407583937048912]",
