epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 24 30.0000000,,"[-0.007511116564273834, -0.11034000292420387]",,"[0.11831170693039894, 0.3095466010272503]",,,,"[0.03405951336026192, -0.016301020979881287]","[0.22182905673980713, 0.48645975813269615]",,"[-0.11203097924590111, -0.09268653020262718]",,"[-0.3244558647274971, -0.9052472934126854]","[-0.16074290871620178, -0.01185864582657814]","[0.534181647002697, 0.5015811882913113]",,,"[-0.15888897702097893, 0.10106754675507545]",
08 11 15 0 25 0.0000000,,"[0.045231640338897705, 0.2863732539117336]",,"[-0.2148788832128048, 0.09406230971217155]",,,,"[-0.10730179771780968, -0.24872097745537758]","[-0.24209702759981155, 0.21647437289357185]",,"[-0.04209619387984276, 0.15463326126337051]",,"[-0.483964741230011, -0.3159255236387253]","[-0.3650687709450722, 0.03672196343541145]","[0.19539397209882736, -1.0594611763954163]",,,"[-0.19651185348629951, 0.4471634291112423]",
08 11 15 0 25 30.0000000,,"[-0.050120048224925995, 0.08716966956853867]",,"[-0.12963049858808517, 0.3924112170934677]",,,,"[-0.5662821233272552, 0.2391677051782608]","[-0.039460744708776474, 0.06235043704509735]",,"[0.2339053563773632, 0.7200626097619534]",,"[0.06682335957884789, -0.5995040573179722]","[-0.48161353543400764, 0.2330566756427288]","[0.22927472367882729, -0.9304824061691761]",,,"[0.34899725392460823, 0.638767383992672]",
08 11 15 0 26 0.0000000,,"[0.07519252598285675, -0.23199445009231567]",,"[-0.23054329305887222, 0.41969919204711914]",,,,"[-0.18250679969787598, 0.27820560708642006]","[0.06594287231564522, 0.33006899803876877]",,"[0.48518217727541924, 0.49717414379119873]",,"[-0.20856403931975365, -0.9279092401266098]","[-0.11418446898460388, -0.08349773660302162]","[0.25307565554976463, -0.35514996945858]",,,"[-0.1945607326924801, 0.04087357223033905]",
08 11 15 0 26 30.0000000,,"[0.024849556386470795, -0.1279555782675743]",,"[-0.06471254676580429, 0.12499520182609558]",,,,"[0.35269998013973236, 0.09061249345541]","[0.10972506925463676, 0.09433865547180176]",,"[0.14177779853343964, -0.054442428052425385]",,"[0.5379547961056232, -0.3162717968225479]","[-0.609620850533247, 0.07475381344556808]","[-0.1282448060810566, -0.36372606828808784]",,,"[0.2687573619186878, -0.644730594009161]",
08 11 15 0 27 0.0000000,,"[-0.500939853489399, -0.008933063596487045]",,"[0.03607426583766937, 0.4131803773343563]",,,,"[0.14666329696774483, -0.3250882998108864]","[0.2109401859343052, 0.4645388722419739]",,"[-0.3630797788500786, -0.6711994782090187]",,"[0.7754901573061943, -0.1978391781449318]","[-0.12615198269486427, 0.5232607387006283]","[0.5173290893435478, -0.7788410000503063]",,,"[0.279785118997097, -0.36480366811156273]",
08 11 15 0 27 30.0000000,,"[0.19930998980998993, 0.43485210835933685]",,"[0.4793076403439045, 0.20049208030104637]",,,,"[0.41568473726511, -0.28448742255568504]","[0.08480779454112053, 0.1459634229540825]",,"[-0.10099461302161217, 0.33196306228637695]",,"[0.4787910580635071, -0.41505996882915497]","[0.4023848660290241, 0.19560161232948303]","[0.2125518023967743, 0.7469208128750324]",,,"[-0.5976660326123238, -0.11695470288395882]",
08 11 15 0 28 0.0000000,,"[0.39040007814764977, 0.018924124538898468]",,"[0.12900807335972786, 0.09804153814911842]",,,,"[0.042434703558683395, 0.08796441555023193]","[-0.19368628039956093, 0.17377256602048874]",,"[-0.48279209062457085, 0.052456047385931015]",,"[0.8019904717803001, -0.2898227944970131]","[0.07250535860657692, 0.2205105684697628]","[-0.17935483902692795, 0.23367002233862877]",,,"[-0.32544824481010437, -0.3695291504263878]",
08 11 15 0 28 30.0000000,,"[-0.03237524628639221, 0.20510470122098923]",,"[-0.1896924339234829, -0.046854354441165924]",,,,"[-0.08381136134266853, 0.05448748543858528]","[-0.22167739272117615, 0.16323690488934517]",,"[-0.24656476452946663, -0.36210354045033455]",,"[0.2104639820754528, -0.40809304639697075]","[-0.42341217398643494, 0.40630000084638596]","[0.24221370741724968, 0.5933407209813595]",,,"[-0.08420908451080322, -0.014089811593294144]",
08 11 15 0 29 0.0000000,,"[0.002890564501285553, 0.06856965646147728]",,"[0.07959464192390442, 0.0345088392496109]",,,,"[-0.34819310158491135, 0.5985246896743774]","[0.006375491619110107, 0.324421439319849]",,"[-0.21604261919856071, -0.3441012389957905]",,"[-0.0405309684574604, -0.8086826279759407]","[-0.06518368422985077, 0.19163573160767555]","[0.19269772619009018, 0.30831441283226013]",,,"[0.21702561154961586, 0.5772883296012878]",
08 11 15 0 29 30.0000000,,"[0.32619278877973557, 0.5283517427742481]",,"[-0.21875688806176186, 0.33208340778946877]",,,,"[0.06003253161907196, 0.2595261000096798]","[-0.046433888375759125, 0.3755217045545578]",,"[0.7460442073643208, -0.6682297736406326]",,"[0.3384392336010933, 0.12500249594449997]","[0.1254182681441307, -0.23364593088626862]","[-0.1532914973795414, 0.8311545215547085]",,,"[0.1902112141251564, -0.31976740062236786]",
08 11 15 0 30 0.0000000,,"[0.15736937895417213, 0.1095498763024807]",,"[-0.3135000877082348, 0.11132434383034706]",,,,"[-0.21383149921894073, 0.21468589082360268]","[0.12297268956899643, 0.530036773532629]",,"[-0.06635848060250282, 0.012435689568519592]",,"[0.24306534975767136, -0.12803077697753906]","[0.13698388636112213, -0.12731213122606277]","[0.3957560546696186, -0.007568981498479843]",,,"[-0.6612949147820473, 0.4621584601700306]",
