epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 5 23 30.0000000,,,"[-0.10970050463282544, 0.0005005810229032903]",,,,"[0.4930749914119845, 0.007799424851668846]",
08 11 15 5 24 0.0000000,,,"[-0.10995887515017877, -0.0005167410347066692]",,,,"[0.5078906590409318, 0.02963133525789452]",
08 11 15 5 24 30.0000000,,,"[-0.1027084923896755, 0.014500765521006542]",,,,"[0.5154640049481278, 0.0151466918143921]",
08 11 15 5 25 0.0000000,,,"[-0.11166247611280777, -0.01790796744626455]",,,,"[0.5203244983574109, 0.009720986818566146]",
08 11 15 5 25 30.0000000,,,"[-0.11121033719101359, 0.0009042778435883747]",,,,"[0.5341147923735701, 0.02758058803231833]",
08 11 15 5 26 0.0000000,,,"[-0.11194505819714085, -0.0014694420122545182]",,,,"[0.5413248035552911, 0.014420022363442087]",
08 11 15 5 26 30.0000000,,,"[-0.11754837158560338, -0.011206626776925077]","[0.051778119321338245, 0.10355623864267649]",,,"[0.5483329852938192, 0.01401636347705626]",
08 11 15 5 27 0.0000000,,,"[-0.1202450640717121, -0.005393384972217419]","[0.07891461050346615, 0.05427298236425582]",,,"[0.5571093416571644, 0.017552712726690345]",
08 11 15 5 27 30.0000000,,,"[-0.1210928292918636, -0.001695530440303017]","[0.11615965376376536, 0.07449008652059841]",,,"[0.5543076754793583, -0.005603332355612167]",
08 11 15 5 28 0.0000000,,,"[-0.12236043237735128, -0.002535206170975357]","[0.1359165579595627, 0.039513808391594685]",,,"[0.5550181944020807, 0.0014210378454446726]",
08 11 15 5 28 30.0000000,,,"[-0.12202940819190733, 0.0006620483708879021]","[0.1593309545920687, 0.04682879326501199]",,,"[0.5570285984995973, 0.004020808195033254]",
08 11 15 5 29 0.0000000,,,"[-0.10857015732834085, 0.02691850172713295]","[0.19516306846354992, 0.07166422774296244]",,,"[0.5628579718653812, 0.01165874673156786]",
08 11 15 5 29 30.0000000,,,"[-0.10382268916593151, 0.009494936324818681]","[0.21982893662046532, 0.04933173631383081]",,,"[0.5688003799616137, 0.011884816192464953]",
08 11 15 5 30 0.0000000,,,"[-0.0896125572844344, 0.028420263762994225]","[0.2522699896113433, 0.06488210598175592]",,,"[0.5829701402643277, 0.028339520605427992]",
08 11 15 5 30 30.0000000,,,"[-0.07648435905703721, 0.026256396454794384]","[0.2787363334495322, 0.05293268767637782]",,,"[0.5889529294229181, 0.011965578317180814]",
08 11 15 5 31 0.0000000,,,"[-0.06628697433182218, 0.02039476945043006]","[0.3049685467880725, 0.05246442667708062]",,,"[0.5952586722446265, 0.012611485643416742]",
08 11 15 5 31 30.0000000,,,"[-0.06042529990958112, 0.011723348844482118]","[0.33238760108738397, 0.054838108598622926]",,,"[0.6051976769689125, 0.019878009448571987]",
