epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 5 10 0.0000000,,"[2.933473510853946, 6.989894051601489]","[0.4037553918547925, -0.062017567952473485]",,,,"[-1.1592915293139718, 0.3513440592835355]","[-5.838353175719579, -9.172565343909794]"
08 11 15 5 10 30.0000000,,"[2.703174336068332, 6.656594012429316]","[-0.10496269641444123, 0.03864147464434353]",,,,"[0.49260052178675906, -0.14471409184237238]","[-7.333513114651044, -9.185355532103115]"
08 11 15 5 11 0.0000000,,"[3.6631182415410874, 7.156044099976619]","[0.25284727187827194, -0.19181718726952823]",,,,"[0.21287368868167178, 0.052868287141125236]","[-7.068379435737928, -8.305965009265476]"
08 11 15 5 11 30.0000000,,"[3.20950224827975, 6.75461876814564]","[-0.04043917832896149, -0.6234905650218323]",,,,"[-0.11888291056578382, 0.9416200770686078]","[-6.855516988833745, -8.168871718578869]"
08 11 15 5 12 0.0000000,,"[3.3184420300647615, 7.778889108945926]","[-0.41949081150814926, -0.42307088573773655]",,,,"[0.3803253311353423, -0.41153324109812495]","[-7.756047833760579, -8.630924019151264]"
08 11 15 5 12 30.0000000,,"[2.2887345088645814, 7.356968883921702]","[0.5594171908684071, -0.012355395158131444]",,,,"[0.38919801150138156, 0.5776936961958814]","[-6.210049275358518, -9.246083441310459]"
08 11 15 5 13 0.0000000,,"[3.920429824106395, 6.512620527793963]","[0.5018866759724911, -0.2458500643571213]",,,,"[-0.07527244205897077, -0.6453432039668154]","[-6.556508500178655, -8.651041898065143]"
08 11 15 5 13 30.0000000,,"[3.160008041374385, 6.968553949644168]","[0.832900571543723, 0.06728627483050076]",,,,"[-1.1598564770383142, 0.524480621392529]","[-7.013340506752332, -8.75878039293819]"
08 11 15 5 14 0.0000000,,"[3.36171006988734, 8.429229055096705]","[0.08510030331090057, -0.12667574783166202]",,,,"[0.5356691915231444, 0.022539715344708]","[-6.457832042177518, -9.270363616877132]"
08 11 15 5 14 30.0000000,,"[3.0130136741325257, 8.233911339690287]","[0.3751671192236241, 0.2162838945786163]",,,,"[0.2976754147248961, -0.022724603240687813]","[-6.211488176186879, -9.087686422401005]"
08 11 15 5 15 0.0000000,,"[3.7383815778419374, 5.221474756052096]","[0.4038055193610486, -0.30694640477498325]",,,,"[-0.5405981552166246, -0.03917326492567774]","[-7.398237992127736, -8.77228251390987]"
08 11 15 5 15 30.0000000,,,"[-0.46972880987450516, -0.26188352008660587]",,,,"[0.5755970317559935, -0.6286862985541415]","[-5.619803179105123, -10.023339676790767]"
08 11 15 5 16 0.0000000,,,"[0.7918839779682454, -0.12016385098298343]",,,,"[-0.2068128150266908, -1.214073364560802]","[-7.760492522319158, -9.325452732973629]"
08 11 15 5 16 30.0000000,,,"[0.13149210335686767, -0.05912979741891178]",,,,"[-0.18538913245623334, -0.15279815060396906]","[-6.834731284578641, -8.565604332023197]"
08 11 15 5 17 0.0000000,,,"[0.38299554111435974, -0.22287344237168583]",,,,"[-0.41933932270233854, -0.7650011078764987]","[-7.862978834708532, -8.649843397670322]"
08 11 15 5 17 30.0000000,,,"[0.7088957977481183, -0.383001722892125]",,,,"[-0.8370535683197282, 0.2767921044180799]","[-6.110116232236226, -8.390760394864612]"
08 11 15 5 18 0.0000000,,,"[0.2625432488508519, -0.08516081472237857]",,,,"[0.3364560071068503, -0.3630462185790133]","[-7.1987700351079305, -7.548855054312282]"
08 11 15 5 18 30.0000000,,,"[0.0003213983960446143, -0.4035780509312943]",,,,"[0.0557909521895148, -0.08624411088724848]","[-7.3503409363826115, -7.806029575996929]"
08 11 15 5 19 0.0000000,,,"[-0.053765584807843325, -0.26500725050767215]",,,,"[0.41014952842767016, 0.35431459086636785]","[-5.625115368564924, -7.664908143811756]"
08 11 15 5 19 30.0000000,,,"[-0.38892196593806183, -0.6414142032464341]",,,,"[0.6327110368447997, -0.5326098398615908]","[-7.492153365214666, -8.080388906531864]"
08 11 15 5 20 0.0000000,,,"[-0.5539674359373752, -0.6568003525336579]",,,,"[0.5670967612105109, 0.5652836366246152]","[-6.435077298482259, -7.95836584561401]"
08 11 15 5 20 30.0000000,,,"[0.05567528577521408, -0.4374100943406418]",,,,"[-0.4927000563902162, -0.2458141790082049]","[-6.76338716228803, -8.624887335234218]"
08 11 15 5 21 0.0000000,,,"[-0.25352072445675766, -0.5642083962758377]",,,,"[-0.20307141657297834, 0.2720926060030866]","[-6.89242846151193, -8.97976596944862]"
08 11 15 5 21 30.0000000,,,"[0.13633934678509796, -0.568797432382901]",,,,"[0.04505112652356402, 0.16624907689790014]","[-8.51335147400697, -8.207801330023342]"
08 11 15 5 22 0.0000000,,,"[0.04443219574168289, 0.18455801109472958]",,,,"[-0.024654605643203098, -0.4182787583520007]","[-6.688565183480581, -9.960067692332798]"
08 11 15 5 22 30.0000000,,,"[0.2957807657308873, 0.13582218388716427]",,,,"[0.4783075589376189, 0.15098087030152563]","[-7.326714683373769, -9.285527723961406]"
08 11 15 5 23 0.0000000,,,"[0.5758670073933896, 0.036957911650340236]",,,,"[0.31773412857825534, -0.20038736325999018]","[-8.293699700435003, -8.96908293955856]"
08 11 15 5 23 30.0000000,,,"[0.5224812281318005, -0.24132955869038852]",,,,"[-0.2790042620462678, -0.28359388274451014]",
08 11 15 5 24 0.0000000,,,"[0.6550670889206227, 0.05815482834974972]",,,,"[0.436662449284146, 0.024892653400700127]",
08 11 15 5 24 30.0000000,,,"[0.7628585052676495, 0.21079429189364163]",,,,"[0.340018047733853, 0.523223172004025]",
08 11 15 5 25 0.0000000,,,"[0.957218076009303, 0.2606366197268173]",,,,"[0.22391392175729052, 0.4000282986710477]",
08 11 15 5 25 30.0000000,,,"[0.5222264778800305, 0.15982260505358425]",,,,"[-0.07355412955706342, 0.6299772812674451]",
08 11 15 5 26 0.0000000,,,"[0.6031937179155644, 0.15950124661127774]","[1.169184466068809, 0.31228267270568244]",,,"[0.1698687884646155, 0.2432324095318723]",
08 11 15 5 26 30.0000000,,,"[0.38110520215705, 0.2842116574446365]","[-2.1280229490351035, -0.05258552115913995]",,,"[-0.5373530846399568, 0.24476345914105657]",
08 11 15 5 27 0.0000000,,,"[0.4045297008939084, 0.18857686916987149]","[-0.45965821557753794, 0.06543881315234534]",,,"[-0.3358599927586816, -0.7932959840943408]",
08 11 15 5 27 30.0000000,,,"[0.8050694418139752, 0.2657836000124618]","[0.251694535081451, 0.36942197996619575]",,,"[0.2676982495623328, -0.2208382384230685]",
08 11 15 5 28 0.0000000,,,"[0.7629375112242993, 0.25515373746554104]","[-0.2176558774065327, 0.855832374277147]",,,"[-0.26094410683338864, -0.5172015176465106]",
08 11 15 5 28 30.0000000,,,"[0.37983310492709244, -0.4108206560214356]","[-0.038925657803947855, 0.31876011806968085]",,,"[-0.5344296705288194, -0.6898973630120349]",
08 11 15 5 29 0.0000000,,,"[0.0010732290334996009, -0.624293528993924]","[1.3245391745019603, 0.48030032831672065]",,,"[0.31855802123124377, 0.1233801944802213]",
08 11 15 5 29 30.0000000,,,"[-0.1365503641776744, -1.0370522518952683]","[-0.437170992429192, 0.25727929789069526]",,,"[0.10181328539426104, -0.9350302861382556]",
08 11 15 5 30 0.0000000,,,"[-0.6076419699005786, -1.2425618847211197]","[-0.20617462211364024, -0.13798097651955255]",,,"[-0.06905035789435132, -0.43232782644530054]",
08 11 15 5 30 30.0000000,,,"[0.20569779993966186, -0.839065172274907]","[-0.4912052404236149, -0.8176152346706069]",,,"[0.18992009644086139, -0.1690072463204455]",
08 11 15 5 31 0.0000000,,,"[-0.03722627935931122, -0.8639835794766739]","[0.7138713795591045, -0.4022342203235305]",,,"[0.2073651838737227, 0.2889148397992063]",
08 11 15 5 31 30.0000000,,,"[-0.27634108541533386, -0.8327958216269806]","[0.09034434444195516, -0.43499062341210015]",,,"[0.5523435685473181, 0.6737974091122556]",
08 11 15 5 32 0.0000000,,,"[-0.013692704122513888, 0.4336257348457977]","[0.7637858886171032, 0.970160982193979]",,"[0.41066851236802693, 1.2622592125964514]","[0.4628470156031348, 0.8524353309224058]","[3.951910953919093, 4.392757457560963]"
08 11 15 5 32 30.0000000,,,"[-0.35789523748680985, -0.2769075711568192]","[1.2790832865882564, -0.2460307417487777]",,"[-0.7776527949334944, 0.1391354625058523]","[0.34496614222104327, 0.422263260061543]","[3.828055497209231, 3.9728467584318583]"
08 11 15 5 33 0.0000000,,,"[-0.14506227253004944, 0.3982669631640121]","[0.9054351795364071, 0.7878038050556504]",,"[0.4835130325792467, -0.4596952672171244]","[0.029230586035797756, 1.2021791292975355]","[3.9907312951485316, 5.001903098887867]"
