epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 19 30.0000000,"[-0.04528667861751701, 0.011674906743371238]","[-0.06736079952929463, 0.016115571770892068]","[0.3184035576339339, -0.03877101686314077]",,,"[-0.4090334369759794, -0.031585217248400355]","[-0.47079095156753736, -0.02344669768896246]","[0.21941715979387988, 0.0024383409359054475]",,"[-0.5874592663601081, -0.05370779922843827]","[0.031633659349510346, -0.001760113586064982]",
08 11 15 1 20 0.0000000,"[-0.04705487220948368, -0.0035363871839333427]","[-0.06990409518974738, -0.005086591320905498]","[0.31250151163290996, -0.011804092002047906]",,,"[-0.43224599468171876, -0.04642511541147876]","[-0.4911211189050537, -0.04066033467503272]","[0.22174244703218715, 0.004650574476614544]",,"[-0.6180998247025626, -0.061281116684908994]","[0.025247182853811, -0.01277295299139869]",
08 11 15 1 20 30.0000000,"[-0.04397869446967073, 0.006152355479625893]","[-0.06732851743998802, 0.0051511554995187225]","[0.31375297367374433, 0.002502924081668745]",,,"[-0.46115874049456496, -0.05782549162569239]","[-0.508326647434497, -0.034411057058886474]","[0.22564214997444587, 0.00779940588451744]",,"[-0.6410055792734131, -0.045811509141700846]","[0.021557389360645995, -0.007379586986330011]",
08 11 15 1 21 0.0000000,"[-0.04599718805666431, -0.00403698717398715]","[-0.07225360347860965, -0.009850172077243258]","[0.3133734979036158, -0.000758951540257069]",,,"[-0.4774277185746887, -0.03253795616024746]","[-0.5320963082701515, -0.04753932167130914]","[0.2248105447660984, -0.0016632104166949269]",,"[-0.6686587830395232, -0.05530640753222027]","[0.022049909344798113, 0.0009850399683042355]",
08 11 15 1 21 30.0000000,"[-0.045795330162747394, 0.0004037157878338249]","[-0.07250390347363656, -0.0005005999900538072]","[0.32499189202355017, 0.023236788239868744]",,,"[-0.48531594762267494, -0.0157764580959725]","[-0.5426085666525817, -0.02102451676486039]","[0.22585207839068944, 0.002083067249182058]",,"[-0.6977410856898296, -0.05816460530061285]","[0.028048830064467012, 0.011997841439337797]",
08 11 15 1 22 0.0000000,"[-0.048879578424886994, -0.006168496524279199]","[-0.0766861979838036, -0.008364589020334101]","[0.3301753580631004, 0.010366932079100444]",,,"[-0.5053796644369357, -0.04012743362852156]","[-0.5612432130333713, -0.0372692927615792]","[0.2271842835890907, 0.002664410396802541]",,"[-0.7235534421958827, -0.05162471301210614]","[0.036356906461365135, 0.016616152793796246]","[0.014371599229480392, 0.028743198458960784]"
08 11 15 1 22 30.0000000,"[-0.050671983583833846, -0.003584810317893705]","[-0.08229757241101732, -0.011222748854427422]","[0.35000493489413764, 0.03965915366207451]",,,"[-0.5252092412679734, -0.0396591536620754]","[-0.5826471960847853, -0.042807966102828]","[0.23007474447964027, 0.005780921781099124]",,"[-0.7214703749467009, 0.004166134498363672]","[0.0381735421544418, 0.003633271386153325]","[0.040595732562119125, 0.052448266665277465]"
08 11 15 1 23 0.0000000,"[-0.05592811277504883, -0.010512258382429973]","[-0.08645564587062982, -0.008316146919224998]","[0.353694709420153, 0.007379549052030755]",,,"[-0.5548567080869469, -0.059294933637946905]","[-0.5879921389558938, -0.010689885742216854]","[0.2410472217897659, 0.021944954620251256]",,"[-0.7227864201332987, -0.0026320903731957834]","[0.029389105785194936, -0.017568872738493724]","[0.045133281791859936, 0.009075098459481623]"
08 11 15 1 23 30.0000000,"[-0.05277121084481906, 0.006313803860459544]","[-0.08652832798944488, -0.00014536423763011896]","[0.36218848369916445, 0.01698754855802287]",,,"[-0.5800150867444396, -0.050316757314985416]","[-0.6005390319699709, -0.025093786028154375]","[0.24183847438647987, 0.0015825051934279522]",,"[-0.7181439161790109, 0.009285007908575782]","[0.029792802605878688, 0.0008073936413675042]","[0.055734353854183905, 0.021202144124647937]"
08 11 15 1 24 0.0000000,"[-0.0555567264943968, -0.005571031299155482]","[-0.08824806999672674, -0.0034394840145637318]","[0.3640454909710247, 0.0037140145437204453]",,,"[-0.5945239512384983, -0.029017728988117497]","[-0.6126499176233325, -0.024221771306723205]","[0.2385039356128884, -0.006669077547182933]",,"[-0.735672426822296, -0.0350570212865704]","[0.02744329431701642, -0.004699016577724535]","[0.060255752555696596, 0.009042797403025382]"
08 11 15 1 24 30.0000000,"[-0.0587863010598666, -0.00645914913093959]","[-0.08688356374186856, 0.0027290125097163553]","[0.35924151018517825, -0.009607961571692858]",,,"[-0.6132958344331416, -0.03754376638928658]","[-0.6212405855881392, -0.01718133592961335]","[0.24197573016748342, 0.006943589109190018]",,"[-0.7508110481143606, -0.030277242584129112]","[0.03332918978981203, 0.01177179094559122]","[0.0816355240401303, 0.042759542968867414]"
08 11 15 1 25 0.0000000,"[-0.06961342361593714, -0.02165424511214109]","[-0.09146148455039294, -0.009155841617048743]","[0.36436845411771657, 0.010253887865076639]",,,"[-0.6323341586674651, -0.038076648468647]","[-0.6299362272446426, -0.017391283313006767]","[0.24978322554147758, 0.015614990747988333]",,"[-0.7749682457588958, -0.04831439528907033]","[0.027935804817593723, -0.010786769944436614]","[0.08744068583893405, 0.011610323597607497]"
08 11 15 1 25 30.0000000,"[-0.07583037172490137, -0.012433896217928453]","[-0.09654806638772273, -0.010173163674659591]","[0.3799107722304649, 0.03108463622549662]",,,"[-0.6454542958561107, -0.02624027437729115]","[-0.6450990506201122, -0.030325646750939187]","[0.2577683387916836, 0.01597022650041202]",,"[-0.809605410212979, -0.06927432890816654]","[0.02209836092948292, -0.01167488777622161]","[0.09138884036587802, 0.00789630905388794]"
08 11 15 1 26 0.0000000,"[-0.08235409451802944, -0.013047445586256146]","[-0.10172346190494608, -0.010350791034446694]","[0.3974392828737501, 0.0350570212865704]",,,"[-0.6586470961964221, -0.0263856006806229]","[-0.6530034301963265, -0.01580875915242852]","[0.26995997708618713, 0.024383276589007075]",,"[-0.8404478264493505, -0.06168483247274281]","[0.015598830736184954, -0.012999060386595929]","[0.11915508834601152, 0.05553249596026699]"
08 11 15 1 26 30.0000000,"[-0.08455020598123486, -0.004392222926410838]","[-0.10502569013850627, -0.006604456467120379]","[0.39286135258165067, -0.009155860584198816]",,,"[-0.6677545051959357, -0.018214817999027133]","[-0.6625225970552757, -0.019038333717898537]","[0.2691364329165913, -0.0016470883391916935]",,"[-0.8649037661900225, -0.04891187948134412]","[0.021928794608447877, 0.012659927744525845]","[0.126736504775534, 0.015162832859044961]"
08 11 15 1 27 0.0000000,"[-0.08442102072255797, 0.0002583705173537787]","[-0.10479963016118443, 0.0004521199546436705]","[0.3880816023299345, -0.00955950050343235]",,,"[-0.6718076049638513, -0.008106199535831138]","[-0.6671570399708118, -0.009268885831072105]","[0.277153847223254, 0.01603482861332539]",,"[-0.8945350919643427, -0.0592626515486403]","[0.0314560414732985, 0.01905449372970125]","[0.14961802881225417, 0.04576304807344034]"
08 11 15 1 27 30.0000000,"[-0.09041996040937716, -0.011997879373638387]","[-0.10855400680011273, -0.007508753277856606]","[0.38257516366011757, -0.011012877339633853]",,,"[-0.6868089704749125, -0.030002731022122472]","[-0.6819242560150744, -0.029534432088525353]","[0.2785910071462021, 0.002874319845896256]",,"[-0.902092296826885, -0.015114409725084599]","[0.036082385415783236, 0.009252687884969468]","[0.1631580133498125, 0.027079969075116672]"
08 11 15 1 28 0.0000000,"[-0.09034729725771218, 0.00014532630332997343]","[-0.11945382095857315, -0.021799628316920838]","[0.39606670609656547, 0.0269830848728958]",,,"[-0.7004700602652458, -0.027322179580666628]","[-0.6874387462400681, -0.011028980449987236]","[0.28675373827261996, 0.01632546225283571]",,"[-0.9191928895989314, -0.034201185544092905]","[0.031270334107610154, -0.009624102616346164]","[0.1865966405164481, 0.04687725433327117]"
08 11 15 1 28 30.0000000,"[-0.10098066089291735, -0.021266727270410346]","[-0.1310964171619129, -0.023285192406679478]","[0.41218227786745776, 0.03223114354178458]",,,"[-0.7022705549136692, -0.0036009892968467128]","[-0.6998241624225867, -0.0247708323650373]","[0.2822727111498906, -0.008962054245458706]",,"[-0.9361965792016078, -0.034007379205352795]","[0.023567812425312695, -0.015405043364594919]","[0.18895422881121204, 0.004715176589527914]"
08 11 15 1 29 0.0000000,"[-0.10694729003970482, -0.011933258293574944]","[-0.13580352322911393, -0.009414212134402078]","[0.42685260970950023, 0.029340663684084944]",,,"[-0.7185879656113281, -0.032634821395317815]","[-0.7127505312067924, -0.025852737568411444]","[0.2880213508416829, 0.01149727938358458]",,"[-0.9626387114728168, -0.0528842645424179]","[0.014678402364369347, -0.017778820121886696]","[0.19677786522985974, 0.01564727283729539]"
08 11 15 1 29 30.0000000,"[-0.1134791023223094, -0.013063624565209153]","[-0.14126151031424605, -0.010915974170264242]","[0.43300493673840124, 0.012304654057802011]",,,"[-0.7289468366516765, -0.020717742080696766]","[-0.7255396252428448, -0.025578188072104657]","[0.29350354949379476, 0.010964397304223716]",,"[-0.9821453251571621, -0.03901322736869073]","[0.012740651934942449, -0.0038755008588537976]","[0.21223136017913946, 0.030906989898559445]"
08 11 15 1 30 0.0000000,"[-0.12134311031974021, -0.01572801599486162]","[-0.14806782467528246, -0.013612628722072806]","[0.43968209429148586, 0.013354315106169246]",,,"[-0.751432724906465, -0.044971776509576955]","[-0.7295362313544737, -0.007993212223257773]","[0.29414139578127707, 0.0012756925749646264]",,"[-1.0027338535284571, -0.04117705674258998]","[0.01066566469166208, -0.004149974486560737]","[0.22351065010772908, 0.02255857985717924]"
08 11 15 1 30 30.0000000,"[-0.12631664794304687, -0.009947075246613313]","[-0.1509905866222887, -0.005845523894012494]","[0.4509855863034802, 0.02260698402398864]",,,"[-0.7672253240470899, -0.03158519828124984]","[-0.7376747509139115, -0.01627703911887579]","[0.29372962843826667, -0.0008235346860208104]",,"[-1.0160396885992167, -0.026611670141519106]","[0.007621788008305597, -0.006087753366712967]","[0.23826171562376297, 0.02950213103206778]"
08 11 15 1 31 0.0000000,"[-0.1281817447043836, -0.003730193522673453]","[-0.1550598558855829, -0.008138538526588412]","[0.4599960921336239, 0.018021011660287467]",,,"[-0.7854320620402158, -0.036413475986251775]","[-0.7482596819315817, -0.021169862035340214]","[0.29629713566569915, 0.005135014454864972]",,"[-1.0316143077684217, -0.03114923833840999]","[-0.001953891474080205, -0.019151358964771603]","[0.24682816253801487, 0.017132893828503803]"
08 11 15 1 31 30.0000000,"[-0.13501227063240018, -0.013661051856033168]","[-0.16193884288185956, -0.013757973992553296]","[0.4733423082667416, 0.02669243226623541]",,,"[-0.7981727044915834, -0.02548128490273527]","[-0.7604836023153918, -0.0244478407676203]","[0.3010042417329004, 0.009414212134402522]",,"[-1.0475603227018537, -0.031892029866864124]","[0.0023575788111891427, 0.008622940570538695]","[0.26147427332950235, 0.029292221582974953]"
08 11 15 1 32 0.0000000,"[-0.14095468821220747, -0.011884835159614582]","[-0.16290771335478516, -0.0019377409458511963]","[0.48365271823882994, 0.020620819944176638]",,,"[-0.8294188270322134, -0.062492245081259945]","[-0.7768090930189526, -0.03265098140712164]","[0.29847709660067623, -0.005054290264448369]",,"[-1.065016160709899, -0.034911676016090354]","[-0.0027289935425658385, -0.010173144707509962]","[0.28252302062849255, 0.0420974945979804]"
08 11 15 1 32 30.0000000,"[-0.14756724365237894, -0.01322511088034295]","[-0.16741297101164454, -0.00901051531371877]","[0.48781080118201725, 0.008316165886374627]",,,"[-0.8367661034785123, -0.014694552892597912]","[-0.7982696171445283, -0.042921048251151284]","[0.29905842078114686, 0.0011626483609412652]",,"[-1.0609549714525066, 0.00812237851478459]","[-0.0008881367989341804, 0.003681713487263316]","[0.2917838074865129, 0.018521573716040685]"
