epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 21 29.9970000,,"[0.17486520929378457, 0.024593197915237397]",,"[0.053723940276540816, -0.0007428033859468997]",,,,"[-0.03517004475725116, 0.021767320147773717]","[-0.271203358677667, -0.0016147866917890497]",,"[0.6145230736583471, 0.007799417711794376]",,"[0.20887260753079318, -0.005926265905145556]","[-0.20532815272235894, 0.003374902058567386]","[0.4070391816285337, 0.03349066721420968]",,,,"[-0.5914558515783028, 0.0061361871694316505]",
08 11 15 0 21 59.9970000,,"[0.17005314494599588, -0.009624128695577383]",,"[0.06027997123601381, 0.013112061918945983]",,,,"[-0.04340545563172782, -0.016470821748953313]","[-0.2748931453534169, -0.007379573351499858]",,"[0.6460517758969218, 0.06305740447714925]",,"[0.21957864085561596, 0.021412066649645567]","[-0.22217037319933297, -0.03368444095394807]","[0.4214672973339475, 0.028856231410827604]",,,,"[-0.6333918515629193, -0.083871999969233]",
08 11 15 0 22 29.9970000,,"[0.18310061778174713, 0.0260949456715025]",,"[0.04904106000321917, -0.02247782246558927]",,,,"[-0.02912267067222274, 0.02856556991901016]","[-0.2723821525287349, 0.005021985649364069]",,"[0.653382905991748, 0.014662260189652441]",,"[0.20987377513665706, -0.0194097314379178]","[-0.20917134304181673, 0.02599806031503249]","[0.4317615600375575, 0.020588525407220004]",,,,"[-0.6966107352736799, -0.12643776742152113]",
08 11 15 0 22 59.9970000,,"[0.17841773870168254, -0.00936575816012919]",,"[0.0461667413401301, -0.005748637326178141]",,,,"[-0.06684407864668174, -0.075442815948918]","[-0.2679334162385203, 0.008897472580429167]",,"[0.6511706481105648, -0.0044245157623663545]",,"[0.22020033333683386, 0.02065311640035361]","[-0.21185188855815795, -0.005361091032682452]","[0.43897965507858316, 0.014436190082051326]",,,,,
08 11 15 0 23 29.9970000,,"[0.17367833986645564, -0.009478797670453787]",,"[0.04547238124359865, -0.001388720193062909]",,,,"[-0.05300536090362584, 0.02767743548611179]","[-0.2678768988716911, 0.00011303473365842365]",,"[0.6679805734893307, 0.03361985075753182]",,"[0.23038156109396368, 0.020362455514259636]","[-0.22731346766158822, -0.03092315820686053]","[0.4528748910752256, 0.027790471993284882]",,,,,
08 11 15 0 23 59.9970000,,"[0.1736298977630213, -9.688420686870813e-05]",,"[0.04843551477097208, 0.005926267054746859]",,,,"[-0.042420436406246154, 0.021169848994759377]","[-0.26501065310549166, 0.0057324915323988535]",,"[0.6801722105592489, 0.02438327413983643]",,"[0.2615388626290951, 0.06231460307026281]","[-0.2444221273981384, -0.03421731947310036]","[0.45985076760825905, 0.013951753066066885]",,,,,
08 11 15 0 24 29.9970000,,"[0.18345587013754994, 0.019651944749057293]",,"[0.05587968015606748, 0.014888330770190807]",,,,"[-0.04468921102306922, -0.004537549233646132]","[-0.2673520932421525, -0.0046828802733216435]",,"[0.6960051901987754, 0.03166595927905291]",,"[0.25811551566584967, -0.006846693926490843]","[-0.2651559844453004, -0.04146771409432404]","[0.45311710928672255, -0.01346731664307299]",,,,,
08 11 15 0 24 59.9970000,,"[0.18948709903634153, 0.012062457797583193]",,"[0.05827763647539541, 0.004795912638655864]",,,,"[-0.06054641227456159, -0.03171440250298474]","[-0.2686035526166961, -0.0025029187490872573]",,"[0.697167836187873, 0.0023252919781953096]",,"[0.22327650131774135, -0.06967802869621664]","[-0.28261989771635854, -0.034927826542116236]","[0.4637908462782434, 0.02134747398304171]",,,,,
08 11 15 0 25 29.9970000,,"[0.19398427667329088, 0.008994355273898691]",,"[0.056792034454701934, -0.0029712040413869545]",,,,"[-0.06250837842162582, -0.003923932294128463]","[-0.27803390460940136, -0.01886070398541051]",,"[0.7154552912688814, 0.03657491016201675]",,"[0.23512095882324502, 0.02368891501100734]","[-0.2811746637162287, 0.002890468000259716]","[0.47037917444504274, 0.013176656333598658]",,,,,
08 11 15 0 25 59.9970000,,"[0.1928700763382949, -0.00222840066999197]",,"[0.052601664676330984, -0.0083807395567419]",,,,"[-0.0657056554882729, -0.00639455413329415]","[-0.27303614104675944, 0.009995527125283843]",,"[0.7467579234507866, 0.06260526436381042]",,"[0.24873360732453875, 0.027225297002587467]","[-0.3022153298225021, -0.04208133221254684]","[0.438608254276005, -0.06354184033807542]",,,,,
08 11 15 0 26 29.9970000,,"[0.2010247464349959, 0.016309340193402022]",,"[0.05433755958802067, 0.0034717898233793676]",,,,"[-0.0811914550504298, -0.030971599124313798]","[-0.2675458675748814, 0.010980546943756053]",,"[0.735583602450788, -0.0223486419999972]",,"[0.2623785514733754, 0.027289888297673315]","[-0.3028208750547492, -0.0012110904644941911]","[0.4659385120839943, 0.05466051561597851]",,,,,
08 11 15 0 26 59.9970000,,"[0.19627727472106926, -0.009494943427853286]",,"[0.061894758517155424, 0.015114397858269513]",,,,"[-0.07306908009195467, 0.01624474991695024]","[-0.275789351639105, -0.016486968128447188]",,"[0.7412918711779639, 0.011416537454351783]",,"[0.23764002550160512, -0.04947705194354057]","[-0.3037493763185921, -0.0018570025276858362]","[0.4822317064736126, 0.032586388779236586]",,,,,
08 11 15 0 27 29.9970000,,"[0.20371336364769377, 0.014872177853249012]",,"[0.07078415672731353, 0.017778796420316212]",,,,"[-0.048346701682021376, 0.0494447568198666]","[-0.2703636697588081, 0.010851363760593813]",,"[0.7418005298241042, 0.0010173172922804952]",,"[0.25068749880301766, 0.026094946602825075]","[-0.30687398786176345, -0.006249223086342681]","[0.4970635175177449, 0.029663622088264674]",,,,,
08 11 15 0 27 59.9970000,,"[0.20343885209877044, -0.000549023097846657]",,"[0.06583483778376831, -0.009898637887090445]",,,,"[-0.05502384263672866, -0.013354281909414567]","[-0.27880092815394164, -0.01687451679026708]",,"[0.766724755463656, 0.049848451279103756]",,"[0.22315539242117666, -0.05506421276368201]","[-0.3176365391263971, -0.021525102529267315]","[0.4982746079795106, 0.002422180923531414]",,,,,
08 11 15 0 28 29.9970000,,"[0.20624858047813177, 0.005619456758722663]",,"[0.06558454608602915, -0.0005005833954783157]",,,,"[-0.06328347456292249, -0.016519263852387667]","[-0.2868990813203709, -0.016196306332858512]",,"[0.7989720376790501, 0.06449456443078816]",,"[0.19698778045130894, -0.05233522393973544]","[-0.3199699051838252, -0.004666732114856131]","[0.5164005838478261, 0.03625195173663087]",,,,,
08 11 15 0 28 59.9970000,,"[0.20644235599320382, 0.0003875510301440954]",,"[0.06476100428699283, -0.0016470835980726406]",,,,"[-0.04902491243410623, 0.02851712425763253]","[-0.2922117283214902, -0.010625294002238661]",,"[0.8048902300652117, 0.011836384772323072]",,"[0.2212580184568651, 0.04854047601111233]","[-0.3265501595706155, -0.01316050877358066]","[0.5219231534865685, 0.01104513927748485]",,,,,
08 11 15 0 29 29.9970000,,"[0.22602971165906638, 0.03917471133172512]",,"[0.07764699912513606, 0.025771989676286466]",,,,"[-0.02300262988137547, 0.052044565105461515]","[-0.30093157428564155, -0.017439691928302636]",,"[0.7757675594184548, -0.058245341293513775]",,"[0.19414575648261234, -0.05422452394850552]","[-0.3219318701449083, 0.009236578851414379]","[0.5128238316056013, -0.018198643761934363]",,,,,
08 11 15 0 29 59.9970000,,"[0.22419693018309772, -0.003665562951937318]",,"[0.07985118229407817, 0.0044083663378842175]",,,,"[-0.05618648862946429, -0.06636771749617765]","[-0.3169664023062069, -0.032069656041130656]",,"[0.7689773825113662, -0.013580353814177215]",,"[0.1927247445564717, -0.0028420238522812724]","[-0.33782136712034116, -0.0317789939508657]","[0.538943000729887, 0.05223833824857138]",,,,,
08 11 15 0 30 29.9970000,,"[0.23302173576666974, 0.01764961116714403]",,"[0.08249135741061764, 0.005280350233078934]",,,,"[-0.04798337525426177, 0.01640622675040504]","[-0.3299735058008082, -0.02601420698920265]",,"[0.8087091987254098, 0.0794636324280873]",,"[0.17011773624108173, -0.04521401663077995]","[-0.37021398097567726, -0.06478522771067219]","[0.5256533096671774, -0.026579382125419215]",,,,,
08 11 15 0 30 59.9970000,,"[0.24376006599050015, 0.021476660447660834]",,"[0.092236592550762, 0.01949047028028872]",,,,"[-0.0441401825628418, 0.007686385382839943]","[-0.3378778849328228, -0.015808758264029166]",,"[0.8312354680383578, 0.04505253862589598]",,"[0.1338173404801637, -0.07260079152183607]","[-0.3654422876134049, 0.009543386724544689]","[0.548429870088512, 0.04555312084266916]",,,,,
08 11 15 0 31 29.9970000,,"[0.25784907600609586, 0.02817802003119141]",,"[0.09648348087648628, 0.00849377665144857]",,,,"[-0.05280351368128322, -0.01732666223688284]","[-0.3437637809984153, -0.011771792131185066]",,"[0.8513476317166351, 0.04022432735655457]",,"[0.18494147455203347, 0.10224826814373955]","[-0.3540015267790295, 0.022881521668750793]","[0.5382728646482065, -0.020314010880611022]",,,,,
