epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 20 0.0010000,,"[0.10928066291671712, -0.004295331018511206]",,"[0.014581520088540856, -0.006362258111948904]",,,,"[-0.07604028665673468, -0.03353911168687773]","[-0.26560005017745425, 0.009607978761778213]",,"[0.5752111007723215, 0.030955452745729417]",,"[0.3406956868936959, -0.016680742607832144]","[-0.24320296428584243, -0.010592998131869535]","[0.3073019064752316, -0.05083347226991464]",,,"[-0.656079598749784, -0.01690681251056958]",
08 11 15 0 20 30.0010000,,"[0.11401198647945421, 0.009462647125474177]",,"[0.012732589858842402, -0.0036978604593969067]",,,,"[-0.055314504875241255, 0.04145156356298685]","[-0.26539012828106934, 0.0004198437927698251]",,"[0.5621474791705623, -0.026127243203518447]",,"[0.3427626133945978, 0.0041338530018038]","[-0.25594362818640093, -0.025481327801117004]","[0.33039335033367934, 0.04618288771689549]",,,"[-0.6538269722914265, 0.004505252916715108]",
08 11 15 0 21 0.0010000,,"[0.11905011969793122, 0.010076266436954029]",,"[0.01498521676103337, 0.004505253804381937]",,,,"[-0.04434203141772741, 0.021944946915027685]","[-0.28288633727606793, -0.03499241798999719]",,"[0.5650137255306618, 0.005732492720198934]",,"[0.356141117840707, 0.026757008892218437]","[-0.26903954502836314, -0.026191833683924415]","[0.33246835091313187, 0.00415000115890507]",,,"[-0.6776450698926055, -0.04763619520235807]",
08 11 15 0 21 30.0010000,,"[0.12519438183517195, 0.01228852427448146]",,"[0.017665761979060335, 0.005361090436053928]",,,,"[-0.06564913678676021, -0.042614210738065594]","[-0.2926234989245131, -0.01947432329689036]",,"[0.5802411599097468, 0.03045486875817005]",,"[0.36944695691227025, 0.026611678143126483]","[-0.2840893533258395, -0.03009961659495275]","[0.3636498740081606, 0.0623630461900575]",,,"[-0.6954077193367993, -0.035525298888387624]",
08 11 15 0 22 0.0010000,,"[0.11991403011052171, -0.01056070344930049]",,"[0.023164109381013986, 0.010996694803907303]",,,,"[-0.06318658754389617, 0.0049250984857280855]","[-0.29141240935132373, 0.0024221791463787667]",,"[0.5954120781093479, 0.030341836399202293]",,"[0.3820745858230339, 0.025255257821527266]","[-0.27760598634881717, 0.012966733954044685]","[0.35477662366270124, -0.017746500690918765]",,,"[-0.7176433271561109, -0.04447121563862311]",
08 11 15 0 22 30.0010000,,"[0.13540790523256874, 0.03098775024409406]",,"[0.02258278608951514, -0.001162646582997695]",,,,"[-0.06941158928248115, -0.012450003477169957]","[-0.28523585119546624, 0.012353116311714984]",,"[0.6149671392290657, 0.03911012223943544]",,"[0.379176044408041, -0.005797082829985811]","[-0.2944885770889414, -0.03376518148024843]","[0.3467915050780448, -0.015970237169312895]",,,"[-0.7368915792139887, -0.03849650411575567]",
08 11 15 0 23 0.0010000,,"[0.13866169936954975, 0.006507588273962028]",,"[0.024326755519268772, 0.003487938859507267]",,,,"[-0.07047734810703332, -0.002131517649104353]","[-0.2806094888783264, 0.00925272463427973]",,"[0.6296939908074819, 0.02945370315683249]",,"[0.38429491700321705, 0.010237745190352143]","[-0.29853361675350243, -0.00809007932912209]","[0.3442482171228676, -0.0050865759103544406]",,,"[-0.7675240747375938, -0.06126499104721005]",
08 11 15 0 23 30.0010000,,"[0.14485440478892997, 0.012385410838760436]",,"[0.02863823499183127, 0.008622958945124992]",,,,"[-0.07163999409704047, -0.002325291980014299]","[-0.2772345853427396, 0.006749807071173564]",,"[0.63686364167188, 0.014339301728796272]",,"[0.3928209886341847, 0.01705214326193527]","[-0.300770095785424, -0.00447295806384318]","[0.3480429650442147, 0.007589495842694305]",,,"[-0.7886051100540499, -0.04216207063291222]",
08 11 15 0 24 0.0010000,,"[0.1469213315867819, 0.00413385359570384]",,"[0.025634732406160765, -0.006007005171341007]",,,,"[-0.05537909602253421, 0.032521796149012516]","[-0.2886107550275483, -0.022752339369617403]",,"[0.6296697691641384, -0.014387745015483233]",,"[0.3861680691724132, -0.013305838923542979]","[-0.3220772009739221, -0.0426142103769962]","[0.3415918932519162, -0.01290214358459707]",,,"[-0.7885324451235647, 0.00014532986097037792]",
08 11 15 0 24 30.0010000,,"[0.15621442631527316, 0.018586189456982538]",,"[0.03580788615272468, 0.020346307493127824]",,,,"[-0.04916216895526304, 0.012433854134542344]","[-0.29756474497480667, -0.017907979894516757]",,"[0.6658248337348596, 0.0723101291414423]",,"[0.3777227367722844, -0.016890664800257582]","[-0.32951329187574174, -0.014872181803639252]","[0.3807989047322735, 0.07841402296071465]",,,"[-0.8148050181880535, -0.05254514612897765]",
