epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G29,G31,G32
08 11 15 0 20 59.9950000,,"[-0.33240585029125214, -0.04728376120328903]",,"[0.1651192009449005, -0.12357126548886299]",,,,"[0.20470045506954193, -0.34649453684687614]","[-0.20230259001255035, -0.0988868921995163]",,"[-0.04192905128002167, -0.19187917187809944]",,"[0.2874358557164669, 0.10571746900677681]","[-0.3186710439622402, -0.4672865495085716]","[0.42205648124217987, 0.18815163150429726]",,,,"[-0.09526609629392624, -0.3656717427074909]",
08 11 15 0 21 29.9950000,,"[0.25668203085660934, 0.2636198066174984]",,"[0.26093151792883873, 0.28417858108878136]",,,,"[-0.16456006467342377, -0.27583877369761467]","[-0.12596270814538002, 0.3231114223599434]",,"[0.24343469366431236, -1.077780518680811]",,"[0.0226125530898571, 0.46330300718545914]","[-0.4886874668300152, -0.29782310873270035]","[0.11757971718907356, -0.2511960566043854]",,,,"[-0.13811932131648064, 0.12406051531434059]",
08 11 15 0 21 59.9950000,,"[0.18883293494582176, 0.971568688750267]",,"[0.23824364691972733, 0.5909432880580425]",,,,"[-0.3521573916077614, -0.44107358530163765]","[-0.14252068474888802, -0.016408495604991913]",,"[0.1256120316684246, -0.19360192492604256]",,"[-0.489842776209116, -0.2369493432343006]","[-0.3583913519978523, 0.0973658375442028]","[-0.18026360124349594, 0.28324857354164124]",,,,"[0.05102762579917908, 0.3432233892381191]",
08 11 15 0 22 29.9950000,,"[-0.05508967861533165, 0.17200225219130516]",,"[0.11820988357067108, 0.13523618876934052]",,,,"[0.227815143764019, -0.42788856104016304]","[-0.23833562433719635, -0.3598165176808834]",,"[-0.3645659387111664, 0.19124164432287216]",,"[-0.3101309835910797, 0.23431740701198578]","[0.023273859173059464, 0.12896768748760223]","[0.6235727556049824, 0.14878429472446442]",,,,"[-0.25190549343824387, -0.0006303749978542328]",
08 11 15 0 22 59.9950000,,"[0.21176787465810776, 0.4255242086946964]",,"[0.13527285307645798, 0.10419479385018349]",,,,"[0.1584647335112095, 0.060378897935152054]","[-0.21058190241456032, 0.11694132909178734]",,"[0.0914553739130497, -0.7197168245911598]",,"[0.5264367498457432, -0.07821989431977272]","[-0.45039642602205276, -0.10068165510892868]","[0.06838395446538925, -0.4449104033410549]",,,,"[-0.05991043522953987, -0.268077053129673]",
08 11 15 0 23 29.9950000,,"[-0.09456062689423561, 0.15087855979800224]",,"[0.1309887021780014, 0.5322614312171936]",,,,"[0.1595279462635517, 0.08158453553915024]","[-0.7734167203307152, -0.2315978705883026]",,"[0.5128958076238632, -0.8342027775943279]",,"[-0.057164546102285385, -0.19118495658040047]","[-0.474261824041605, -0.24669833481311798]","[0.5572311542928219, -0.018219273537397385]",,,,"[0.013062886893749237, -0.3567547909915447]",
08 11 15 0 23 59.9950000,,"[0.09634250029921532, 0.4805891700088978]",,"[-0.13222907483577728, 0.2085428386926651]",,,,"[-0.4339124821126461, -0.03354036435484886]","[-0.20140698179602623, 0.7453684285283089]",,"[-0.06709829345345497, -0.7435673661530018]",,"[-0.49074047803878784, 0.4723256975412369]","[-0.03002507984638214, -0.30674318969249725]","[0.15858064591884613, -0.13418317213654518]",,,,"[-0.3560202829539776, 0.4977491423487663]",
08 11 15 0 24 29.9950000,,"[-0.025052569806575775, -0.24339933693408966]",,"[0.064687829464674, 0.03760660067200661]",,,,"[0.37804003804922104, 0.003451179713010788]","[-0.16079411283135414, 0.016810033470392227]",,"[0.38051704689860344, -0.6026875339448452]",,"[-0.3621312044560909, 0.3574753925204277]","[-0.2623979449272156, 0.19072218984365463]","[0.12996959313750267, 0.48298848047852516]",,,,"[-0.07003016024827957, 0.9973761513829231]",
08 11 15 0 24 59.9950000,,"[-0.11659298092126846, -0.030520442873239517]",,"[0.30554255843162537, -0.16149522736668587]",,,,"[0.38755251467227936, 0.24557164311408997]","[0.281219944357872, 0.1799522079527378]",,"[-0.13558927178382874, -0.6291031055152416]",,"[-0.3115503303706646, -0.29360784217715263]","[-0.09399934485554695, 0.08615000545978546]","[0.4119836091995239, 0.3213624395430088]",,,,"[-0.03038264811038971, 0.34668754786252975]",
08 11 15 0 25 29.9950000,,"[0.07634807005524635, 0.42808758839964867]",,"[0.044575586915016174, 0.10621872171759605]",,,,"[-0.09936067461967468, -0.5183986350893974]","[-0.02482225000858307, 0.12756084650754929]",,"[-0.5593239180743694, 0.0619271881878376]",,"[-0.10149954631924629, -0.028722941875457764]","[-0.06979154795408249, 0.5077910386025906]","[-0.30631517618894577, 0.07746865972876549]",,,,"[-0.06163327768445015, -0.4385208934545517]",
08 11 15 0 25 59.9950000,,"[0.06607060879468918, -0.1213047131896019]",,"[-0.04122919961810112, 0.2068081721663475]",,,,"[0.1548454836010933, -0.23090511932969093]","[-0.261573426425457, 0.005640316754579544]",,"[0.18893768265843391, 0.8793006837368011]",,"[0.38019902631640434, 0.6979049704968929]","[0.17514358833432198, 0.13754797726869583]","[-0.6268289647996426, -0.5824203379452229]",,,,"[0.4125761426985264, -0.12579156458377838]",
08 11 15 0 26 29.9950000,,"[0.1581631377339363, 0.24780050665140152]",,"[-0.039115794003009796, 0.03975474461913109]",,,,"[0.05675496906042099, -0.05288338661193848]","[-0.3427705839276314, 0.2906664237380028]",,"[-0.14537138864398003, 0.07721804082393646]",,"[0.15320375934243202, 0.03915678709745407]","[-0.3020669221878052, -0.10284803062677383]","[-0.2588258199393749, 0.14496591314673424]",,,,"[-0.3169263042509556, -0.06851912662386894]",
08 11 15 0 26 59.9950000,,"[0.033933721482753754, 0.1002085842192173]",,"[0.18408040702342987, 0.059236377477645874]",,,,"[0.2453492507338524, -0.4294835217297077]","[-0.191836129873991, -0.45269090309739113]",,"[0.2604413665831089, 0.2650516740977764]",,"[-0.33394626900553703, -0.4978032410144806]","[0.11179356276988983, -0.21109730005264282]","[0.08142830803990364, 0.8032120727002621]",,,,"[-0.013094920665025711, -0.023272495716810226]",
08 11 15 0 27 29.9950000,,"[-0.008936353027820587, 0.5544361583888531]",,"[0.21689864993095398, -0.12092096731066704]",,,,"[-0.19078967720270157, -0.442310381680727]","[-0.21143224090337753, 0.2525807395577431]",,"[0.27312131598591805, -0.32398514077067375]",,"[0.5065682269632816, 0.051028773188591]","[-0.06563737988471985, -0.08102522045373917]","[0.13104918599128723, -0.16374175623059273]",,,,"[0.1439789980649948, 0.10745225101709366]",
08 11 15 0 27 59.9950000,,"[-0.07171784713864326, 0.5285449102520943]",,"[0.08285405486822128, -0.1376008316874504]",,,,"[0.29543541371822357, -0.5833554677665234]","[-0.12897752225399017, 0.12463553994894028]",,"[0.5216214545071125, 0.08168183639645576]",,"[0.0023311637341976166, 0.20387255027890205]","[0.0018719062209129333, 0.5225598886609077]","[-0.07359863817691803, -0.2829040437936783]",,,,"[-0.21641041710972786, -0.4656745195388794]",
08 11 15 0 28 29.9950000,,"[-0.10081661492586136, -0.3438218757510185]",,"[-0.028062332421541214, -0.3217592127621174]",,,,"[-0.24009987711906433, -0.934853658080101]","[-0.3021835833787918, -0.2350662425160408]",,"[0.9388709999620914, -0.6514990590512753]",,"[-0.8916992209851742, 0.12154116481542587]","[-0.33483336493372917, -0.07167850807309151]","[0.3197960667312145, -0.4728984758257866]",,,,"[-0.6169642806053162, -0.47745511308312416]",
08 11 15 0 28 59.9950000,,"[-0.4476548209786415, 0.2805955447256565]",,"[0.12285040318965912, -0.1863834336400032]",,,,"[0.0645391047000885, 0.0776330940425396]","[-0.26506051048636436, 0.09375715628266335]",,"[-0.16248485073447227, -0.4359002709388733]",,"[-0.11363953724503517, -0.40859542042016983]","[0.13653035834431648, 0.9587014429271221]","[0.46792906522750854, 0.0799538753926754]",,,,"[-0.1481325626373291, -0.37501659989356995]",
08 11 15 0 29 29.9950000,,"[0.30589551106095314, 0.08936154842376709]",,"[0.15444903820753098, 0.28712958097457886]",,,,"[0.15737396851181984, 0.06639943271875381]","[-0.08522926643490791, -0.17923495545983315]",,"[-0.2216116189956665, 0.522686492651701]",,"[-0.6756138689815998, -0.07654306292533875]","[-0.2631440497934818, -0.05544870346784592]","[0.0941203273832798, -0.37200842052698135]",,,,"[0.4518892429769039, -0.5228685215115547]",
08 11 15 0 29 59.9950000,,"[0.020473506301641464, -0.1748308464884758]",,"[0.06193612888455391, 0.13879840448498726]",,,,"[-0.14578355103731155, -0.2550022192299366]","[-0.25829994678497314, 0.023501262068748474]",,"[-0.4364794157445431, 0.32603273913264275]",,"[-0.4122370705008507, -0.25005142390727997]","[-0.39246271178126335, -0.7392335869371891]","[-0.17550960183143616, -0.10082488507032394]",,,,"[-6.914883852005005e-05, -1.3448354080319405]",
