epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 18 0.0000000,"[0.019020380576451612, -0.2335061466321351]","[-0.2789637502903739, 0.22669315499564036]","[-0.5374347398678462, -0.18888660116742062]",,,"[-3.5980345098301765, -0.7173673526694375]","[-0.22364654568955303, -1.373978814855218]","[-0.4103877351308862, -0.300397775384287]",,"[1.1387511054674784, 2.3492855122933785]","[-0.06571551303689693, -0.15076446793973464]",
08 11 15 1 18 30.0000000,"[0.4942246546347936, -0.39609320815652627]","[0.06633135856439676, 0.020015837376316625]","[-0.3371902684370677, 0.013230320376654392]",,,"[-2.2376654235646125, -1.2392773793389398]","[-0.4429801943711936, -1.6843993578106164]","[-0.17032261497030654, 0.30273137309898934]",,"[1.3563406775395075, 1.9767583897958199]","[-0.03808810453241085, -0.10388525091111678]",
08 11 15 1 19 0.0000000,"[0.49659884919722874, -0.45746749993413705]","[-0.16196932463596259, -0.523903308684627]","[-0.2943800965944926, 0.4223967011397083]",,,"[-2.4729608682915565, -0.5425534115483361]","[-1.3901560622267426, -1.20493804551661]","[0.04445142739762864, 0.024792738941808556]",,"[1.844455541173617, 2.128165110076467]","[-0.19735761623208736, -0.10583222173154372]",
08 11 15 1 19 30.0000000,"[-0.27583837310473125, 0.17938832584768516]","[-0.31407382159183417, -0.5218425823996462]","[-0.38793769280115764, 0.48322416500498844]",,,"[-1.6140682039782401, -1.3598643110444146]","[-1.776672014873475, -1.1380590859800577]","[0.25837403976668916, 0.028194271711011742]",,"[2.3186515281597773, 0.9968124768386285]","[0.115924799038718, -0.08789551518857497]",
08 11 15 1 20 0.0000000,"[-0.15835752884546916, 0.3431746030226348]","[-0.08747191547105704, -0.14023971396187918]","[-0.7559082935253779, 0.43893514232089115]",,,"[-1.4363703815266486, -2.030284734194477]","[-0.9531278776936233, -0.8225009355694055]","[-0.03354798561582961, 0.4031856737410029]",,"[1.6304025808970133, 1.1885274639974037]","[0.0542698438900211, 0.08994082845747453]",
08 11 15 1 20 30.0000000,"[-0.08884612272183101, 0.10789435748010856]","[-0.07491164474437628, -0.09366772907475607]","[-0.49040768841902416, -0.5580726300055783]",,,"[-1.2085964618250724, -2.0648681835581857]","[-0.19470896748825908, -0.27084062136709686]","[-0.6110753670955698, 0.6711901358639201]",,"[1.4228020171324411, 1.6169292024026314]","[0.2611821081178882, 0.2484036955982445]",
08 11 15 1 21 0.0000000,"[0.168392846484979, -0.08165957387536782]","[0.1221241745476922, -0.323566554362575]","[-0.8715434054533641, -0.33335742695877957]",,,"[-1.349317753128707, -1.5149801687647897]","[-0.5387642624787986, -0.5192329946905374]","[-0.5990502790237466, 0.5468885532890757]",,"[1.1134379069010416, 1.2567024818311134]","[-0.060468545959641684, 0.01394651569426042]",
08 11 15 1 21 30.0000000,"[0.029406638940175367, -0.18156649526208657]","[-0.4014340099568168, 0.41177693170805796]","[-0.044332472483317065, -0.6005826030547421]",,,"[-1.4848803518339988, -1.6206413672616082]","[-1.1873921918682755, -1.135990298166871]","[-0.45170580899963775, 0.4896421662842234]",,"[1.127302140990893, 1.2881427398572365]","[0.004108064963171731, -0.6951204266399147]","[-1.3520294614703525, 4.495722893909149]"
08 11 15 1 22 0.0000000,"[0.14621739288171132, 0.4120327496901153]","[-0.6117849779004851, 0.1397831009080015]","[0.08519508143266041, -0.7640189264590542]",,,"[-0.8541090575978156, -1.849751414482792]","[-1.3486333581618966, -1.3505514327436685]","[-0.43550869381676116, -0.04463741860042014]",,"[1.3989299992720285, 2.556631132091085]","[0.17726086933786656, -0.5727040793746712]","[-1.5294588395030368, 1.9199389110361862]"
08 11 15 1 22 30.0000000,"[-0.1274031976858775, 0.45970806125551444]","[-0.47133215336749945, 0.2960317001988493]","[-0.6240688095490138, -0.9734934453542035]",,,"[-1.1736348805949088, -3.0830665693928796]","[-1.5199395063333214, -1.5472653869539499]","[-0.18683867460737624, 0.26416801729549966]",,"[1.2866412262121836, 2.2851606151709953]","[-0.15774781148259853, -0.3599991526454689]","[-1.3337511160046924, -0.0670521368230057]"
